Entity,Code,Year,annual_sea_surface_temperature_anomaly
Tropics,,1853,-0.11844
Tropics,,1854,-0.21249
Tropics,,1855,-0.22634
Tropics,,1856,-0.31657
Tropics,,1857,-0.49753
Tropics,,1858,-0.36713
Tropics,,1859,-0.2148
Tropics,,1860,-0.30782
Tropics,,1861,-0.40454
Tropics,,1862,-0.37702
Tropics,,1863,-0.42456
Tropics,,1864,-0.5183
Tropics,,1865,-0.11026
Tropics,,1866,-0.14296
Tropics,,1867,-0.1123
Tropics,,1868,-0.12939
Tropics,,1869,-0.20653
Tropics,,1870,-0.27255
Tropics,,1871,-0.21898
Tropics,,1872,-0.32273
Tropics,,1873,-0.34906
Tropics,,1874,-0.55586
Tropics,,1875,-0.29087
Tropics,,1876,-0.36737
Tropics,,1877,0.09526
Tropics,,1878,0.24758
Tropics,,1879,-0.27951
Tropics,,1880,-0.25777
Tropics,,1881,-0.05515
Tropics,,1882,-0.31106
Tropics,,1883,-0.3834
Tropics,,1884,-0.42071
Tropics,,1885,-0.30515
Tropics,,1886,-0.33068
Tropics,,1887,-0.47245
Tropics,,1888,-0.06065
Tropics,,1889,-0.04118
Tropics,,1890,-0.60322
Tropics,,1891,-0.26611
Tropics,,1892,-0.56352
Tropics,,1893,-0.55525
Tropics,,1894,-0.56543
Tropics,,1895,-0.25475
Tropics,,1896,0.0099
Tropics,,1897,0.03483
Tropics,,1898,-0.48405
Tropics,,1899,-0.29214
Tropics,,1900,-0.04336
Tropics,,1901,-0.24358
Tropics,,1902,-0.33935
Tropics,,1903,-0.48479
Tropics,,1904,-0.68078
Tropics,,1905,-0.34063
Tropics,,1906,-0.36615
Tropics,,1907,-0.46982
Tropics,,1908,-0.61605
Tropics,,1909,-0.5626
Tropics,,1910,-0.54728
Tropics,,1911,-0.58119
Tropics,,1912,-0.31268
Tropics,,1913,-0.39491
Tropics,,1914,-0.25395
Tropics,,1915,-0.11649
Tropics,,1916,-0.49627
Tropics,,1917,-0.56981
Tropics,,1918,-0.4237
Tropics,,1919,-0.30032
Tropics,,1920,-0.3144
Tropics,,1921,-0.27673
Tropics,,1922,-0.37487
Tropics,,1923,-0.2988
Tropics,,1924,-0.27693
Tropics,,1925,-0.24614
Tropics,,1926,0.04348
Tropics,,1927,-0.14542
Tropics,,1928,-0.1986
Tropics,,1929,-0.28749
Tropics,,1930,-0.08475
Tropics,,1931,0.07969
Tropics,,1932,-0.17454
Tropics,,1933,-0.26331
Tropics,,1934,-0.26412
Tropics,,1935,-0.20433
Tropics,,1936,-0.13357
Tropics,,1937,0.0003
Tropics,,1938,-0.22907
Tropics,,1939,-0.19015
Tropics,,1940,0.14966
Tropics,,1941,0.18326
Tropics,,1942,-0.04279
Tropics,,1943,-0.12386
Tropics,,1944,0.12369
Tropics,,1945,0.14594
Tropics,,1946,-0.09453
Tropics,,1947,-0.11286
Tropics,,1948,-0.153
Tropics,,1949,-0.21778
Tropics,,1950,-0.30972
Tropics,,1951,-0.04554
Tropics,,1952,0.01694
Tropics,,1953,0.09621
Tropics,,1954,-0.23071
Tropics,,1955,-0.37791
Tropics,,1956,-0.3631
Tropics,,1957,0.02676
Tropics,,1958,0.09415
Tropics,,1959,-0.03658
Tropics,,1960,-0.1026
Tropics,,1961,-0.13676
Tropics,,1962,-0.17795
Tropics,,1963,0.03342
Tropics,,1964,-0.24315
Tropics,,1965,-0.14781
Tropics,,1966,-0.01644
Tropics,,1967,-0.28456
Tropics,,1968,-0.19284
Tropics,,1969,0.16513
Tropics,,1970,-0.11834
Tropics,,1971,-0.42421
Tropics,,1972,0.06341
Tropics,,1973,0.02229
Tropics,,1974,-0.30312
Tropics,,1975,-0.36046
Tropics,,1976,-0.19696
Tropics,,1977,0.08217
Tropics,,1978,0.00613
Tropics,,1979,0.15591
Tropics,,1980,0.18832
Tropics,,1981,0.09292
Tropics,,1982,0.22216
Tropics,,1983,0.36222
Tropics,,1984,0.06755
Tropics,,1985,-0.04512
Tropics,,1986,0.11925
Tropics,,1987,0.47569
Tropics,,1988,0.26985
Tropics,,1989,0.07459
Tropics,,1990,0.28776
Tropics,,1991,0.3265
Tropics,,1992,0.25408
Tropics,,1993,0.26801
Tropics,,1994,0.28225
Tropics,,1995,0.38617
Tropics,,1996,0.26192
Tropics,,1997,0.50692
Tropics,,1998,0.64461
Tropics,,1999,0.12757
Tropics,,2000,0.17346
Tropics,,2001,0.33835
Tropics,,2002,0.48184
Tropics,,2003,0.52864
Tropics,,2004,0.4374
Tropics,,2005,0.45416
Tropics,,2006,0.43658
Tropics,,2007,0.32347
Tropics,,2008,0.23972
Tropics,,2009,0.54985
Tropics,,2010,0.52412
Tropics,,2011,0.22253
Tropics,,2012,0.37905
Tropics,,2013,0.42168
Tropics,,2014,0.54282
Tropics,,2015,0.80844
Tropics,,2016,0.83837
Tropics,,2017,0.64178
Tropics,,2018,0.51342
Tropics,,2019,0.72706
Tropics,,2020,0.72535
Tropics,,2021,0.5031
World,OWID_WRL,1850,-0.3095
World,OWID_WRL,1851,-0.19337
World,OWID_WRL,1852,-0.18339
World,OWID_WRL,1853,-0.21098
World,OWID_WRL,1854,-0.26843
World,OWID_WRL,1855,-0.24173
World,OWID_WRL,1856,-0.30534
World,OWID_WRL,1857,-0.42742
World,OWID_WRL,1858,-0.40247
World,OWID_WRL,1859,-0.27896
World,OWID_WRL,1860,-0.23687
World,OWID_WRL,1861,-0.36428
World,OWID_WRL,1862,-0.3972
World,OWID_WRL,1863,-0.32899
World,OWID_WRL,1864,-0.36861
World,OWID_WRL,1865,-0.21322
World,OWID_WRL,1866,-0.20775
World,OWID_WRL,1867,-0.20575
World,OWID_WRL,1868,-0.2161
World,OWID_WRL,1869,-0.2839
World,OWID_WRL,1870,-0.22569
World,OWID_WRL,1871,-0.23173
World,OWID_WRL,1872,-0.24454
World,OWID_WRL,1873,-0.29478
World,OWID_WRL,1874,-0.39171
World,OWID_WRL,1875,-0.24149
World,OWID_WRL,1876,-0.34601
World,OWID_WRL,1877,-0.02539
World,OWID_WRL,1878,-0.00461
World,OWID_WRL,1879,-0.19775
World,OWID_WRL,1880,-0.2034
World,OWID_WRL,1881,-0.15268
World,OWID_WRL,1882,-0.21559
World,OWID_WRL,1883,-0.24938
World,OWID_WRL,1884,-0.35493
World,OWID_WRL,1885,-0.34008
World,OWID_WRL,1886,-0.35377
World,OWID_WRL,1887,-0.42533
World,OWID_WRL,1888,-0.25392
World,OWID_WRL,1889,-0.16842
World,OWID_WRL,1890,-0.439
World,OWID_WRL,1891,-0.28028
World,OWID_WRL,1892,-0.42191
World,OWID_WRL,1893,-0.41688
World,OWID_WRL,1894,-0.44214
World,OWID_WRL,1895,-0.35342
World,OWID_WRL,1896,-0.15929
World,OWID_WRL,1897,-0.20407
World,OWID_WRL,1898,-0.43947
World,OWID_WRL,1899,-0.31662
World,OWID_WRL,1900,-0.23602
World,OWID_WRL,1901,-0.36399
World,OWID_WRL,1902,-0.4537
World,OWID_WRL,1903,-0.57443
World,OWID_WRL,1904,-0.60236
World,OWID_WRL,1905,-0.43521
World,OWID_WRL,1906,-0.38451
World,OWID_WRL,1907,-0.46854
World,OWID_WRL,1908,-0.5687
World,OWID_WRL,1909,-0.58671
World,OWID_WRL,1910,-0.58422
World,OWID_WRL,1911,-0.58624
World,OWID_WRL,1912,-0.45112
World,OWID_WRL,1913,-0.48329
World,OWID_WRL,1914,-0.33749
World,OWID_WRL,1915,-0.22696
World,OWID_WRL,1916,-0.41508
World,OWID_WRL,1917,-0.45933
World,OWID_WRL,1918,-0.41373
World,OWID_WRL,1919,-0.36713
World,OWID_WRL,1920,-0.28462
World,OWID_WRL,1921,-0.25981
World,OWID_WRL,1922,-0.34122
World,OWID_WRL,1923,-0.31834
World,OWID_WRL,1924,-0.31222
World,OWID_WRL,1925,-0.26628
World,OWID_WRL,1926,-0.14287
World,OWID_WRL,1927,-0.2165
World,OWID_WRL,1928,-0.24909
World,OWID_WRL,1929,-0.32
World,OWID_WRL,1930,-0.16838
World,OWID_WRL,1931,-0.1115
World,OWID_WRL,1932,-0.19265
World,OWID_WRL,1933,-0.26562
World,OWID_WRL,1934,-0.20761
World,OWID_WRL,1935,-0.21589
World,OWID_WRL,1936,-0.17797
World,OWID_WRL,1937,-0.03873
World,OWID_WRL,1938,-0.11749
World,OWID_WRL,1939,-0.10255
World,OWID_WRL,1940,-0.01199
World,OWID_WRL,1941,0.00327
World,OWID_WRL,1942,0.04635
World,OWID_WRL,1943,0.04031
World,OWID_WRL,1944,0.19544
World,OWID_WRL,1945,0.19232
World,OWID_WRL,1946,-0.0779
World,OWID_WRL,1947,-0.14807
World,OWID_WRL,1948,-0.13325
World,OWID_WRL,1949,-0.10949
World,OWID_WRL,1950,-0.12455
World,OWID_WRL,1951,-0.02012
World,OWID_WRL,1952,0.06937
World,OWID_WRL,1953,0.07613
World,OWID_WRL,1954,-0.11056
World,OWID_WRL,1955,-0.18698
World,OWID_WRL,1956,-0.20024
World,OWID_WRL,1957,0.00168
World,OWID_WRL,1958,0.02431
World,OWID_WRL,1959,-0.02973
World,OWID_WRL,1960,-0.07483
World,OWID_WRL,1961,-0.02732
World,OWID_WRL,1962,-0.08224
World,OWID_WRL,1963,-0.03526
World,OWID_WRL,1964,-0.24036
World,OWID_WRL,1965,-0.20315
World,OWID_WRL,1966,-0.09263
World,OWID_WRL,1967,-0.15086
World,OWID_WRL,1968,-0.15229
World,OWID_WRL,1969,0.01328
World,OWID_WRL,1970,-0.09424
World,OWID_WRL,1971,-0.25558
World,OWID_WRL,1972,-0.02319
World,OWID_WRL,1973,0.01075
World,OWID_WRL,1974,-0.14716
World,OWID_WRL,1975,-0.15448
World,OWID_WRL,1976,-0.13235
World,OWID_WRL,1977,0.07836
World,OWID_WRL,1978,0.02786
World,OWID_WRL,1979,0.14543
World,OWID_WRL,1980,0.14203
World,OWID_WRL,1981,0.11512
World,OWID_WRL,1982,0.09825
World,OWID_WRL,1983,0.1946
World,OWID_WRL,1984,0.06038
World,OWID_WRL,1985,0.04476
World,OWID_WRL,1986,0.0739
World,OWID_WRL,1987,0.23264
World,OWID_WRL,1988,0.20845
World,OWID_WRL,1989,0.16803
World,OWID_WRL,1990,0.29425
World,OWID_WRL,1991,0.27296
World,OWID_WRL,1992,0.17579
World,OWID_WRL,1993,0.20568
World,OWID_WRL,1994,0.24524
World,OWID_WRL,1995,0.30009
World,OWID_WRL,1996,0.23714
World,OWID_WRL,1997,0.42091
World,OWID_WRL,1998,0.51006
World,OWID_WRL,1999,0.27619
World,OWID_WRL,2000,0.28053
World,OWID_WRL,2001,0.39199
World,OWID_WRL,2002,0.43434
World,OWID_WRL,2003,0.45946
World,OWID_WRL,2004,0.4376
World,OWID_WRL,2005,0.44789
World,OWID_WRL,2006,0.42388
World,OWID_WRL,2007,0.35835
World,OWID_WRL,2008,0.33213
World,OWID_WRL,2009,0.4801
World,OWID_WRL,2010,0.48557
World,OWID_WRL,2011,0.37851
World,OWID_WRL,2012,0.44911
World,OWID_WRL,2013,0.47344
World,OWID_WRL,2014,0.57639
World,OWID_WRL,2015,0.70045
World,OWID_WRL,2016,0.71945
World,OWID_WRL,2017,0.64483
World,OWID_WRL,2018,0.61641
World,OWID_WRL,2019,0.71702
World,OWID_WRL,2020,0.70991
World,OWID_WRL,2021,0.63219
