"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2013","2013","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.343433,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2014","2014","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.834177,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2015","2015","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.61389,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2016","2016","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.746758,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2017","2017","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.927376,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2018","2018","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.987437,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2019","2019","USD_KG","US dollars per kilogram","0","Units","2015","2015",6.157597,,
"BEL","Belgium","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2020","2020","USD_KG","US dollars per kilogram","0","Units","2015","2015",6.246897,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1990","1990","PC","Percentage","0","Units",,,6.65,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1995","1995","PC","Percentage","0","Units",,,5.21,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2000","2000","PC","Percentage","0","Units",,,6.22,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2005","2005","PC","Percentage","0","Units",,,6.68,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2010","2010","PC","Percentage","0","Units",,,11.17,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2011","2011","PC","Percentage","0","Units",,,8.52,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2012","2012","PC","Percentage","0","Units",,,9.67,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2013","2013","PC","Percentage","0","Units",,,9.89,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2014","2014","PC","Percentage","0","Units",,,10.7,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2015","2015","PC","Percentage","0","Units",,,10.11,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2016","2016","PC","Percentage","0","Units",,,10.37,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2017","2017","PC","Percentage","0","Units",,,10.95,,
"BEL","Belgium","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2018","2018","PC","Percentage","0","Units",,,10.45,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1990","1990","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.198234,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1995","1995","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.232724,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2000","2000","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.368383,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2005","2005","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.512784,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2010","2010","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.72515,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2011","2011","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.745916,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2012","2012","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.801648,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2013","2013","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.817166,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2014","2014","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.871435,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2015","2015","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.905134,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2016","2016","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.938561,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2017","2017","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.971111,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2018","2018","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.979831,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2019","2019","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.032809,,
"CAN","Canada","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2020","2020","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.134139,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1990","1990","PC","Percentage","0","Units",,,9.8,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1995","1995","PC","Percentage","0","Units",,,9.6,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2000","2000","PC","Percentage","0","Units",,,7.82,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2005","2005","PC","Percentage","0","Units",,,9.67,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2010","2010","PC","Percentage","0","Units",,,12.01,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2011","2011","PC","Percentage","0","Units",,,12.62,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2012","2012","PC","Percentage","0","Units",,,12.33,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2013","2013","PC","Percentage","0","Units",,,11.05,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2014","2014","PC","Percentage","0","Units",,,11.89,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2015","2015","PC","Percentage","0","Units",,,11.29,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2016","2016","PC","Percentage","0","Units",,,11.07,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2017","2017","PC","Percentage","0","Units",,,11.77,,
"CAN","Canada","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2018","2018","PC","Percentage","0","Units",,,10.27,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1990","1990","USD_KG","US dollars per kilogram","0","Units","2015","2015",1.520767,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1995","1995","USD_KG","US dollars per kilogram","0","Units","2015","2015",1.78842,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2000","2000","USD_KG","US dollars per kilogram","0","Units","2015","2015",1.980246,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2005","2005","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.45668,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2010","2010","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.967197,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2011","2011","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.111397,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2012","2012","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.174111,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2013","2013","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.323237,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2014","2014","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.532598,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2015","2015","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.663595,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2016","2016","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.664575,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2017","2017","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.851223,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2018","2018","USD_KG","US dollars per kilogram","0","Units","2015","2015",4.017436,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2019","2019","USD_KG","US dollars per kilogram","0","Units","2015","2015",4.346456,,
"CZE","Czech Republic","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2020","2020","USD_KG","US dollars per kilogram","0","Units","2015","2015",4.578665,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1990","1990","PC","Percentage","0","Units",,,9.77,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1995","1995","PC","Percentage","0","Units",,,9.73,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2000","2000","PC","Percentage","0","Units",,,7.98,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2005","2005","PC","Percentage","0","Units",,,8.19,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2010","2010","PC","Percentage","0","Units",,,12.51,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2011","2011","PC","Percentage","0","Units",,,13.11,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2012","2012","PC","Percentage","0","Units",,,9.94,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2013","2013","PC","Percentage","0","Units",,,12.13,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2014","2014","PC","Percentage","0","Units",,,11.32,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2015","2015","PC","Percentage","0","Units",,,7.78,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2016","2016","PC","Percentage","0","Units",,,12.35,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2017","2017","PC","Percentage","0","Units",,,11.66,,
"CZE","Czech Republic","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2018","2018","PC","Percentage","0","Units",,,12.19,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1990","1990","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.650486,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1995","1995","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.574131,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2000","2000","USD_KG","US dollars per kilogram","0","Units","2015","2015",4.767708,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2005","2005","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.337256,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2010","2010","USD_KG","US dollars per kilogram","0","Units","2015","2015",5.530559,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2011","2011","USD_KG","US dollars per kilogram","0","Units","2015","2015",6.300566,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2012","2012","USD_KG","US dollars per kilogram","0","Units","2015","2015",7.147213,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2013","2013","USD_KG","US dollars per kilogram","0","Units","2015","2015",6.894402,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2014","2014","USD_KG","US dollars per kilogram","0","Units","2015","2015",7.851481,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2015","2015","USD_KG","US dollars per kilogram","0","Units","2015","2015",8.56754,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2016","2016","USD_KG","US dollars per kilogram","0","Units","2015","2015",8.478539,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2017","2017","USD_KG","US dollars per kilogram","0","Units","2015","2015",9.332427,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2018","2018","USD_KG","US dollars per kilogram","0","Units","2015","2015",9.503713,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2019","2019","USD_KG","US dollars per kilogram","0","Units","2015","2015",10.86983,,
"DNK","Denmark","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2020","2020","USD_KG","US dollars per kilogram","0","Units","2015","2015",11.80233,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1990","1990","PC","Percentage","0","Units",,,8.2,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","1995","1995","PC","Percentage","0","Units",,,7.53,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2000","2000","PC","Percentage","0","Units",,,7.01,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2005","2005","PC","Percentage","0","Units",,,11,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2010","2010","PC","Percentage","0","Units",,,25.78,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2011","2011","PC","Percentage","0","Units",,,25.17,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2012","2012","PC","Percentage","0","Units",,,21.94,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2013","2013","PC","Percentage","0","Units",,,18.66,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2014","2014","PC","Percentage","0","Units",,,20.54,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2015","2015","PC","Percentage","0","Units",,,18.41,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2016","2016","PC","Percentage","0","Units",,,23.46,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2017","2017","PC","Percentage","0","Units",,,20.26,,
"DNK","Denmark","GPAT_DE_AT","Development of environment-related technologies, % all technologies","2018","2018","PC","Percentage","0","Units",,,23.71,,
"FIN","Finland","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1990","1990","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.876768,,
"FIN","Finland","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","1995","1995","USD_KG","US dollars per kilogram","0","Units","2015","2015",2.722857,,
"FIN","Finland","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2000","2000","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.566481,,
"FIN","Finland","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2005","2005","USD_KG","US dollars per kilogram","0","Units","2015","2015",4.033904,,
"FIN","Finland","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2010","2010","USD_KG","US dollars per kilogram","0","Units","2015","2015",3.74167,,
"FIN","Finland","CO2_PBPROD","Production-based CO2 productivity, GDP per unit of energy-related CO2 emissions","2011","2011","USD_KG","US dollars per kilogram","0","Units","2015","2015",4.359824,,
